title,media,date,datetime,desc,link,img,publisher
"Right-wing violence is rising at an alarming rate, warn German victim support groups",Euronews.com,4 hours ago,2024-05-30 17:48:35.060795,"Violence against politicians has been dominating the headlines, but instances of everyday racism and anti-Semitic attacks are causing German victim advice...",https://www.euronews.com/my-europe/2024/05/30/right-wing-violence-is-rising-at-an-alarming-rate-warn-german-victim-support-groups&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBxAC&usg=AOvVaw0dHIE9oVnSH4A6d8F-L1kU,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
European users alerted that Meta will use public posts to train AI,Euronews.com,6 hours ago,2024-05-30 15:48:35.072985,"Facebook and Instagram's parent company will soon use public posts “to help develop and improve AI,” European users were told.",https://www.euronews.com/next/2024/05/30/meta-will-soon-use-your-public-posts-to-train-its-ai-can-you-prevent-it&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQICRAC&usg=AOvVaw1kS9EJIpRvuw7X0HPsxFO6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Forever chemicals: Report finds 'alarming' levels of groundwater contamination in Europe,Euronews.com,6 hours ago,2024-05-30 15:48:35.084598,Samples have revealed high levels of Trifluoroacetic acid in ten European countries' water supplies.,https://www.euronews.com/my-europe/2024/05/30/forever-chemicals-report-finds-alarming-levels-of-groundwater-contamination-in-europe&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQICBAC&usg=AOvVaw1c5Gs_fkMbNccKck37wsO0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Slovenian government recognises Palestinian state pending parliament approval,Euronews.com,6 hours ago,2024-05-30 15:48:35.096099,"The small Alpine country's parliament must still ratify the decision, but it's widely seen as a formality, as none of the parliamentary parties in the...",https://www.euronews.com/my-europe/2024/05/30/slovenian-government-recognises-palestinian-state-pending-parliament-approval&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIABAC&usg=AOvVaw301gNyUyi6qc_6EWBQuDqZ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Meet the young European climate activists running in the EU elections,Euronews.com,7 hours ago,2024-05-30 14:48:35.107861,A generation of young Europeans that became activists while still at school is now of age to take up positions in political office.,https://www.euronews.com/green/2024/05/30/young-green-and-european-meet-the-new-generation-of-eco-activists-running-in-the-eu-electi&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIAhAC&usg=AOvVaw3urEw6U-oTI7mVkQ_0dvvB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
EU elections: Where do parties stand on anti-discrimination policies?,Euronews.com,7 hours ago,2024-05-30 14:48:35.119325,Only two of the European Parliaments seven political parties explicitly call for the swift adoption of a stalled directive to combat discrimination ahead of...,https://www.euronews.com/my-europe/2024/05/30/eu-elections-where-do-parties-stand-on-anti-discrimination-policies&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIARAC&usg=AOvVaw2z9z4w4tcVM8s-dgeyMPFz,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Spanish inflation rises for third consecutive month as energy costs climb,Euronews.com,8 hours ago,2024-05-30 13:48:35.130602,"A jump in electricity prices linked to higher VAT rates is pushing up inflation in Spain. Upticks are being seen across the eurozone, although the causes...",https://www.euronews.com/business/2024/05/30/spanish-inflation-rises-for-third-consecutive-month-as-energy-costs-climb&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIAxAC&usg=AOvVaw0R-_9aRL8-pI2ICpyA_zO3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
NATO foreign ministers discuss restrictions on Ukraine using their weapons to attack Russia,Euronews.com,9 hours ago,2024-05-30 12:48:35.142382,"The alliance's leaders are concerned that Russia is gaining an edge, but are unsure whether to allow Ukraine to hit back beyond its borders.",https://www.euronews.com/my-europe/2024/05/30/nato-foreign-ministers-discuss-restrictions-on-ukraine-using-their-weapons-to-attack-russi&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBRAC&usg=AOvVaw3bL1R9ipmOX6xgwVK7_ZFm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Watch Live: Volcano on Iceland’s Reykjanes peninsula erupts,YouTube,9 hours ago,2024-05-30 12:48:35.153819,"A volcano in southwestern Iceland erupted Wednesday for the fifth time since December, spewing red lava that once again threatened the coastal town of...",https://www.youtube.com/watch%3Fv%3DMjBeCs3mASU&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBBAC&usg=AOvVaw33gs-MoRvB6A7fekq5q86P,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
Eurozone unemployment hits record low a week before ECB rate decision,Euronews.com,9 hours ago,2024-05-30 12:48:35.165073,"Falling unemployment could point to a brightening European outlook, with the Euro Area economic sentiment improving as well.",https://www.euronews.com/business/2024/05/30/eurozone-unemployment-hits-record-low-a-week-before-ecb-rate-decision&ved=2ahUKEwjsiqChrbaGAxWQGFkFHXPCCzQQxfQBegQIBhAC&usg=AOvVaw0r-iZLFbWkrzDdNuXeL7rp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Euronews
